run_id,model,mode,provider,prompt,prompt_id,quantization,max_new_tokens,load_time_s,ttft_s,total_runtime_s,tokens_generated,generation_throughput,peak_ram_mb,peak_vram_mb,status,error,timestamp,tier
run_7f45d4234a70,Qwen/Qwen2.5-3B-Instruct,gpu_provider,transformers,Write a Python function that sorts a list.,,none,16,0.4828,0.0141,3.1374,16,76.17,2233.49,6010.74,success,,2026-07-06T10:57:58.571247+00:00,medium
run_7f45d4234a70,Qwen/Qwen2.5-3B-Instruct,cpu_baseline,transformers,What is the capital of the United States?,,none,16,2.4419,0.1901,4.6321,16,7.31,8122.16,8.12,success,,2026-07-06T10:58:03.810863+00:00,medium
run_7f462ec07bf0,Qwen/Qwen2.5-3B-Instruct,cpu_baseline,transformers,Explain quantum entanglement in one paragraph.,,none,16,2.4388,0.1576,4.5461,16,7.59,8122.33,8.12,success,,2026-07-06T10:58:08.998260+00:00,medium
run_7f462ec07bf0,Qwen/Qwen2.5-3B-Instruct,cpu_baseline,transformers,Write a Python function that sorts a list.,,none,16,2.439,0.1553,4.5393,16,7.62,8122.34,8.12,success,,2026-07-06T10:58:14.182904+00:00,medium
run_7f4642835100,Qwen/Qwen2.5-3B-Instruct,airllm,airllm,What is the capital of the United States?,,none,16,1.2898,0.0,83.04,16,0.2,3382.6,755.74,success,,2026-07-06T10:59:37.632592+00:00,medium
run_7f462e124f80,Qwen/Qwen2.5-3B-Instruct,airllm,airllm,Explain quantum entanglement in one paragraph.,,none,16,0.7183,0.0,80.627,16,0.2,3268.19,1347.28,success,,2026-07-06T11:00:58.471501+00:00,medium
run_7f462fc1d130,Qwen/Qwen2.5-3B-Instruct,airllm,airllm,Write a Python function that sorts a list.,,none,16,0.7244,0.0,80.6696,16,0.2,3250.79,1347.26,success,,2026-07-06T11:02:19.241324+00:00,medium
run_7f46345f3f50,Qwen/Qwen2.5-7B-Instruct,gpu_provider,transformers,What is the capital of the United States?,,none,16,0.0,0.0,11.6872,0,0.0,6121.6,14130.76,oom,"CUDA out of memory. Tried to allocate 1.02 GiB. GPU 0 has a total capacity of 15.57 GiB of which 558.62 MiB is free. Process 4461 has 95.82 MiB memory in use. Process 11225 has 171.54 MiB memory in use. Process 13381 has 37.91 MiB memory in use. Process 20587 has 48.16 MiB memory in use. Including non-PyTorch memory, this process has 14.21 GiB memory in use. Of the allocated memory 13.80 GiB is allocated by PyTorch, and 121.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2026-07-06T11:02:31.263745+00:00,large
run_7f462d942cf0,Qwen/Qwen2.5-7B-Instruct,gpu_provider,transformers,Explain quantum entanglement in one paragraph.,,none,16,1.8073,0.0,4.8117,0,0.0,4620.02,14578.0,oom,"CUDA out of memory. Tried to allocate 2.00 MiB. GPU 0 has a total capacity of 15.57 GiB of which 112.62 MiB is free. Process 4461 has 95.82 MiB memory in use. Process 11225 has 171.54 MiB memory in use. Process 13381 has 37.91 MiB memory in use. Process 20587 has 48.16 MiB memory in use. Including non-PyTorch memory, this process has 14.65 GiB memory in use. Of the allocated memory 14.24 GiB is allocated by PyTorch, and 120.28 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2026-07-06T11:02:36.792597+00:00,large
run_7f4640361f70,Qwen/Qwen2.5-7B-Instruct,gpu_provider,transformers,Write a Python function that sorts a list.,,none,16,2.0232,0.0,4.4639,0,0.0,4717.05,14578.05,oom,"CUDA out of memory. Tried to allocate 2.00 MiB. GPU 0 has a total capacity of 15.57 GiB of which 112.62 MiB is free. Process 4461 has 95.82 MiB memory in use. Process 11225 has 171.54 MiB memory in use. Process 13381 has 37.91 MiB memory in use. Process 20587 has 48.16 MiB memory in use. Including non-PyTorch memory, this process has 14.65 GiB memory in use. Of the allocated memory 14.24 GiB is allocated by PyTorch, and 120.95 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2026-07-06T11:02:42.074604+00:00,large
run_7f464281b800,Qwen/Qwen2.5-7B-Instruct,cpu_baseline,transformers,What is the capital of the United States?,,none,16,2.4324,0.3594,6.8187,16,3.65,15944.7,8.12,success,,2026-07-06T11:02:49.363291+00:00,large
run_7f462f414b30,Qwen/Qwen2.5-7B-Instruct,cpu_baseline,transformers,Explain quantum entanglement in one paragraph.,,none,16,2.4218,0.3186,6.8267,16,3.63,15955.51,8.12,success,,2026-07-06T11:02:56.615857+00:00,large
run_7f462f414b30,Qwen/Qwen2.5-7B-Instruct,cpu_baseline,transformers,Write a Python function that sorts a list.,,none,16,2.4341,0.3141,6.7363,16,3.72,15951.02,8.12,success,,2026-07-06T11:03:03.876415+00:00,large
run_7f462fc1cbf0,Qwen/Qwen2.5-7B-Instruct,airllm,airllm,What is the capital of the United States?,,none,16,0.5791,0.0,97.3291,16,0.17,5108.1,1051.48,success,,2026-07-06T11:04:42.451069+00:00,large
run_7f452d50f890,Qwen/Qwen2.5-7B-Instruct,airllm,airllm,Explain quantum entanglement in one paragraph.,,none,16,0.7415,0.0,87.8896,16,0.18,4684.32,1051.54,success,,2026-07-06T11:06:11.340339+00:00,large
run_7f4528c8f230,Qwen/Qwen2.5-7B-Instruct,airllm,airllm,Write a Python function that sorts a list.,,none,16,0.6179,0.0,87.8126,16,0.18,4667.59,1051.48,success,,2026-07-06T11:07:39.652272+00:00,large
